Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Owner,Chrome 91.0.4472.164,,,2021-07-19 10:47:12,2021-07-19 10:53:16,6m - 4.183s,FAILED
,,,,,,,
Test Cases/Owner/Owner Portal,Chrome 91.0.4472.164,,,2021-07-19 10:47:12,2021-07-19 10:47:29,16.607s,PASSED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-19 10:47:13,2021-07-19 10:47:17,4.344s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 91.0.4472.164,,,2021-07-19 10:47:17,2021-07-19 10:47:23,6.395s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:23,2021-07-19 10:47:25,1.602s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""owner@radford.edu"")",Chrome 91.0.4472.164,,,2021-07-19 10:47:25,2021-07-19 10:47:26,0.911s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 91.0.4472.164,,,2021-07-19 10:47:26,2021-07-19 10:47:26,0.348s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/button_Sign-In""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:26,2021-07-19 10:47:27,0.410s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/div_Sign-in Successful You will be redirect_b31683""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:27,2021-07-19 10:47:28,1.312s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Portal""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:28,2021-07-19 10:47:29,0.936s,PASSED
closeBrowser(),Chrome 91.0.4472.164,,,2021-07-19 10:47:29,2021-07-19 10:47:29,0.107s,PASSED
,,,,,,,
Test Cases/Owner/Add Announcement,Chrome 91.0.4472.164,,,2021-07-19 10:47:29,2021-07-19 10:47:52,22.608s,PASSED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-19 10:47:29,2021-07-19 10:47:30,0.924s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 91.0.4472.164,,,2021-07-19 10:47:30,2021-07-19 10:47:33,3.108s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:33,2021-07-19 10:47:35,1.560s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""owner@radford.edu"")",Chrome 91.0.4472.164,,,2021-07-19 10:47:35,2021-07-19 10:47:36,0.900s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 91.0.4472.164,,,2021-07-19 10:47:36,2021-07-19 10:47:36,0.330s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), Keys.chord(ENTER))",Chrome 91.0.4472.164,,,2021-07-19 10:47:36,2021-07-19 10:47:36,0.288s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/div_Sign-in Successful You will be redirect_b31683""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:36,2021-07-19 10:47:38,1.138s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Portal""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:38,2021-07-19 10:47:39,1.021s,PASSED
"click(findTestObject(""Page_Owner Portal/h4_Add an Announcement""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:39,2021-07-19 10:47:40,1.520s,PASSED
"setText(findTestObject(""Object Repository/Page_Add Announcement/input_Add an Announcement_title""), ""Katalon Test"")",Chrome 91.0.4472.164,,,2021-07-19 10:47:40,2021-07-19 10:47:41,0.814s,PASSED
"setText(findTestObject(""Object Repository/Page_Add Announcement/textarea_Add an Announcement_announcement""), ""Hello this is a Katalon test"")",Chrome 91.0.4472.164,,,2021-07-19 10:47:41,2021-07-19 10:47:42,0.780s,PASSED
"click(findTestObject(""Object Repository/Page_Add Announcement/button_Add Announcement""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:42,2021-07-19 10:47:42,0.310s,PASSED
"click(findTestObject(""Object Repository/Page_Announcements/button_Katalon Test""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:42,2021-07-19 10:47:51,8.760s,PASSED
"click(findTestObject(""Object Repository/Page_Announcements/p_Hello this is a Katalon test""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:51,2021-07-19 10:47:51,0.298s,PASSED
"click(findTestObject(""Object Repository/Page_Announcements/p_Hello this is a Katalon test""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:51,2021-07-19 10:47:51,0.276s,PASSED
"click(findTestObject(""Object Repository/Page_Announcements/p_Hello this is a Katalon test""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:51,2021-07-19 10:47:52,0.277s,PASSED
closeBrowser(),Chrome 91.0.4472.164,,,2021-07-19 10:47:52,2021-07-19 10:47:52,0.107s,PASSED
,,,,,,,
Test Cases/Owner/Edit Announcement,Chrome 91.0.4472.164,,,2021-07-19 10:47:52,2021-07-19 10:48:11,19.194s,PASSED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-19 10:47:52,2021-07-19 10:47:53,0.992s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 91.0.4472.164,,,2021-07-19 10:47:53,2021-07-19 10:47:55,2.155s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:55,2021-07-19 10:47:57,1.922s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""owner@radford.edu"")",Chrome 91.0.4472.164,,,2021-07-19 10:47:57,2021-07-19 10:47:58,0.823s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 91.0.4472.164,,,2021-07-19 10:47:58,2021-07-19 10:47:58,0.321s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), Keys.chord(ENTER))",Chrome 91.0.4472.164,,,2021-07-19 10:47:58,2021-07-19 10:47:58,0.278s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/div_Sign-in Successful You will be redirect_b31683""))",Chrome 91.0.4472.164,,,2021-07-19 10:47:58,2021-07-19 10:48:00,1.617s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Portal""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:00,2021-07-19 10:48:00,0.514s,PASSED
"click(findTestObject(""Object Repository/Page_Owner Portal/h4_Update an Announcement""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:00,2021-07-19 10:48:03,2.694s,PASSED
"click(findTestObject(""Page_Update Announcements/topAnnouncement""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:03,2021-07-19 10:48:05,1.789s,PASSED
"setText(findTestObject(""Object Repository/Page_Update Announcement/textarea_Update an Announcement_announcement""), ""test, this is an updating Katalon test"")",Chrome 91.0.4472.164,,,2021-07-19 10:48:05,2021-07-19 10:48:06,1.203s,PASSED
"click(findTestObject(""Object Repository/Page_Update Announcement/button_Update Announcement""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:06,2021-07-19 10:48:08,1.754s,PASSED
"click(findTestObject(""Page_Announcements/button_Katalon Test""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:08,2021-07-19 10:48:11,2.828s,PASSED
closeBrowser(),Chrome 91.0.4472.164,,,2021-07-19 10:48:11,2021-07-19 10:48:11,0.114s,PASSED
,,,,,,,
Test Cases/Owner/Delete Announcement,Chrome 91.0.4472.164,,,2021-07-19 10:48:11,2021-07-19 10:48:20,9.126s,PASSED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-19 10:48:11,2021-07-19 10:48:12,0.845s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 91.0.4472.164,,,2021-07-19 10:48:12,2021-07-19 10:48:14,2.125s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:14,2021-07-19 10:48:15,1.042s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""owner@radford.edu"")",Chrome 91.0.4472.164,,,2021-07-19 10:48:15,2021-07-19 10:48:16,0.898s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 91.0.4472.164,,,2021-07-19 10:48:16,2021-07-19 10:48:16,0.425s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/button_Sign-In""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:16,2021-07-19 10:48:17,0.405s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Portal""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:17,2021-07-19 10:48:18,1.483s,PASSED
"click(findTestObject(""Object Repository/Page_Owner Portal/h4_Delete an Announcement""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:18,2021-07-19 10:48:19,0.781s,PASSED
"click(findTestObject(""Page_Delete Announcements/DeleteTestElement""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:19,2021-07-19 10:48:20,0.858s,PASSED
acceptAlert(),Chrome 91.0.4472.164,,,2021-07-19 10:48:20,2021-07-19 10:48:20,0.023s,PASSED
closeBrowser(),Chrome 91.0.4472.164,,,2021-07-19 10:48:20,2021-07-19 10:48:20,0.098s,PASSED
,,,,,,,
Test Cases/Owner/Add listing,Chrome 91.0.4472.164,,,2021-07-19 10:48:20,2021-07-19 10:49:11,51.100s,FAILED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-19 10:48:20,2021-07-19 10:48:21,1.007s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 91.0.4472.164,,,2021-07-19 10:48:21,2021-07-19 10:48:27,5.929s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:27,2021-07-19 10:48:28,0.920s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""owner@radford.edu"")",Chrome 91.0.4472.164,,,2021-07-19 10:48:28,2021-07-19 10:48:29,0.893s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""p4y+y39Ir5MSxNs1t5lTZQ=="")",Chrome 91.0.4472.164,,,2021-07-19 10:48:29,2021-07-19 10:48:29,0.324s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/button_Sign-In""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:29,2021-07-19 10:48:30,0.308s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/div_Email Password Sign-In Remember meForgo_94f557""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:30,2021-07-19 10:48:31,1.013s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 91.0.4472.164,,,2021-07-19 10:48:31,2021-07-19 10:48:31,0.324s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/button_Sign-In""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:31,2021-07-19 10:48:31,0.391s,PASSED
closeBrowser(),Chrome 91.0.4472.164,,,2021-07-19 10:48:31,2021-07-19 10:48:31,0.101s,PASSED
"openBrowser("""")",Chrome 91.0.4472.164,,,2021-07-19 10:48:31,2021-07-19 10:48:32,1.012s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 91.0.4472.164,,,2021-07-19 10:48:32,2021-07-19 10:48:34,1.486s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:34,2021-07-19 10:48:35,0.917s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""owner@radford.edu"")",Chrome 91.0.4472.164,,,2021-07-19 10:48:35,2021-07-19 10:48:36,0.828s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 91.0.4472.164,,,2021-07-19 10:48:36,2021-07-19 10:48:36,0.322s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), Keys.chord(ENTER))",Chrome 91.0.4472.164,,,2021-07-19 10:48:36,2021-07-19 10:48:36,0.276s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Portal""))",Chrome 91.0.4472.164,,,2021-07-19 10:48:36,2021-07-19 10:48:39,2.506s,PASSED
