Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tenant with Property,Chrome 92.0.4515.107,,,2021-07-28 15:02:56,2021-07-28 15:04:56,2m - 0.281s,PASSED
,,,,,,,
Test Cases/Sign in,Chrome 92.0.4515.107,,,2021-07-28 15:02:56,2021-07-28 15:03:05,8.957s,PASSED
"openBrowser("""")",Chrome 92.0.4515.107,,,2021-07-28 15:02:56,2021-07-28 15:02:58,1.876s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 92.0.4515.107,,,2021-07-28 15:02:58,2021-07-28 15:03:00,1.571s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 92.0.4515.107,,,2021-07-28 15:03:00,2021-07-28 15:03:02,2.506s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""test123@radford.edu"")",Chrome 92.0.4515.107,,,2021-07-28 15:03:02,2021-07-28 15:03:03,0.824s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 92.0.4515.107,,,2021-07-28 15:03:03,2021-07-28 15:03:04,0.382s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/button_Sign-In""))",Chrome 92.0.4515.107,,,2021-07-28 15:03:04,2021-07-28 15:03:04,0.419s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Sign-In/div_Sign-in Successful You will be redirect_b31683""), 0)",Chrome 92.0.4515.107,,,2021-07-28 15:03:04,2021-07-28 15:03:05,1.003s,PASSED
closeBrowser(),Chrome 92.0.4515.107,,,2021-07-28 15:03:05,2021-07-28 15:03:05,0.111s,PASSED
,,,,,,,
Test Cases/Tenant/View Tenant Portal (Renting),Chrome 92.0.4515.107,,,2021-07-28 15:03:05,2021-07-28 15:03:20,15.107s,PASSED
"openBrowser("""")",Chrome 92.0.4515.107,,,2021-07-28 15:03:05,2021-07-28 15:03:06,0.944s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 92.0.4515.107,,,2021-07-28 15:03:06,2021-07-28 15:03:10,3.606s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 92.0.4515.107,,,2021-07-28 15:03:10,2021-07-28 15:03:12,2.552s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""test321@gmail.com"")",Chrome 92.0.4515.107,,,2021-07-28 15:03:12,2021-07-28 15:03:13,0.915s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 92.0.4515.107,,,2021-07-28 15:03:13,2021-07-28 15:03:14,0.324s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/button_Sign-In""))",Chrome 92.0.4515.107,,,2021-07-28 15:03:14,2021-07-28 15:03:14,0.407s,PASSED
"click(findTestObject(""Page_Home/a_Portal""))",Chrome 92.0.4515.107,,,2021-07-28 15:03:14,2021-07-28 15:03:16,1.678s,PASSED
"click(findTestObject(""Page_Home/a_Portal""))",Chrome 92.0.4515.107,,,2021-07-28 15:03:16,2021-07-28 15:03:17,1.011s,PASSED
