Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OwnerAddView,Chrome 92.0.4515.131,,,2021-08-04 19:15:34,2021-08-04 19:17:28,1m - 53.481s,FAILED
,,,,,,,
Test Cases/Owner/Add Announcement,Chrome 92.0.4515.131,,,2021-08-04 19:15:34,2021-08-04 19:15:56,21.481s,FAILED
"openBrowser("""")",Chrome 92.0.4515.131,,,2021-08-04 19:15:35,2021-08-04 19:15:37,2.671s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 92.0.4515.131,,,2021-08-04 19:15:37,2021-08-04 19:15:39,1.352s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 92.0.4515.131,,,2021-08-04 19:15:39,2021-08-04 19:15:40,1.390s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""owner@radford.edu"")",Chrome 92.0.4515.131,,,2021-08-04 19:15:40,2021-08-04 19:15:41,0.827s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 92.0.4515.131,,,2021-08-04 19:15:41,2021-08-04 19:15:42,0.478s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), Keys.chord(ENTER))",Chrome 92.0.4515.131,,,2021-08-04 19:15:42,2021-08-04 19:15:42,0.307s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/div_Sign-in Successful You will be redirect_b31683""))",Chrome 92.0.4515.131,,,2021-08-04 19:15:42,2021-08-04 19:15:43,1.233s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Portal""))",Chrome 92.0.4515.131,,,2021-08-04 19:15:43,2021-08-04 19:15:44,0.609s,PASSED
"click(findTestObject(""Page_Owner Portal/h4_Add an Announcement""))",Chrome 92.0.4515.131,,,2021-08-04 19:15:44,2021-08-04 19:15:45,1.151s,PASSED
"setText(findTestObject(""Object Repository/Page_Add Announcement/input_Add an Announcement_title""), ""Katalon Test"")",Chrome 92.0.4515.131,,,2021-08-04 19:15:45,2021-08-04 19:15:46,1.163s,PASSED
"setText(findTestObject(""Object Repository/Page_Add Announcement/textarea_Add an Announcement_announcement""), ""Hello this is a Katalon test"")",Chrome 92.0.4515.131,,,2021-08-04 19:15:46,2021-08-04 19:15:47,0.739s,PASSED
"click(findTestObject(""Object Repository/Page_Add Announcement/button_Add Announcement""))",Chrome 92.0.4515.131,,,2021-08-04 19:15:47,2021-08-04 19:15:47,0.484s,PASSED
"click(findTestObject(""Object Repository/Page_Announcements/button_Katalon Test""))",Chrome 92.0.4515.131,,,2021-08-04 19:15:47,2021-08-04 19:15:56,8.683s,FAILED
,,,,,,,
Test Cases/Owner/Add Fees,Chrome 92.0.4515.131,,,2021-08-04 19:15:56,2021-08-04 19:16:36,39.627s,FAILED
"openBrowser("""")",Chrome 92.0.4515.131,,,2021-08-04 19:15:56,2021-08-04 19:15:57,1.284s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 92.0.4515.131,,,2021-08-04 19:15:57,2021-08-04 19:15:59,1.609s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 92.0.4515.131,,,2021-08-04 19:15:59,2021-08-04 19:16:00,1.383s,PASSED
