Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OwnerListings,Chrome 92.0.4515.131,,,2021-08-04 19:31:08,2021-08-04 19:32:25,1m - 16.760s,PASSED
,,,,,,,
Test Cases/Owner/Activate listing,Chrome 92.0.4515.131,,,2021-08-04 19:31:09,2021-08-04 19:31:27,18.012s,PASSED
"openBrowser("""")",Chrome 92.0.4515.131,,,2021-08-04 19:31:09,2021-08-04 19:31:12,2.603s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 92.0.4515.131,,,2021-08-04 19:31:12,2021-08-04 19:31:17,5.529s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 92.0.4515.131,,,2021-08-04 19:31:17,2021-08-04 19:31:18,0.985s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""owner@radford.edu"")",Chrome 92.0.4515.131,,,2021-08-04 19:31:18,2021-08-04 19:31:19,0.916s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 92.0.4515.131,,,2021-08-04 19:31:19,2021-08-04 19:31:20,0.509s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), Keys.chord(ENTER))",Chrome 92.0.4515.131,,,2021-08-04 19:31:20,2021-08-04 19:31:20,0.510s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/div_Sign-in Successful You will be redirect_b31683""))",Chrome 92.0.4515.131,,,2021-08-04 19:31:20,2021-08-04 19:31:21,1.212s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Portal""))",Chrome 92.0.4515.131,,,2021-08-04 19:31:21,2021-08-04 19:31:22,0.595s,PASSED
"click(findTestObject(""Object Repository/Page_Owner Portal/h4_ActivateDeactivate a Listing""))",Chrome 92.0.4515.131,,,2021-08-04 19:31:22,2021-08-04 19:31:23,1.086s,PASSED
"click(findTestObject(""Object Repository/Page_ActivateDeactivate Listings/div_Select a Listing to ActivateDeactivate__a64143""))",Chrome 92.0.4515.131,,,2021-08-04 19:31:23,2021-08-04 19:31:25,2.429s,PASSED
"click(findTestObject(""Object Repository/Page_ActivateDeactivate Listing/label_Deactivated""))",Chrome 92.0.4515.131,,,2021-08-04 19:31:25,2021-08-04 19:31:26,0.700s,PASSED
"click(findTestObject(""Object Repository/Page_ActivateDeactivate Listing/label_Activated""))",Chrome 92.0.4515.131,,,2021-08-04 19:31:26,2021-08-04 19:31:27,0.425s,PASSED
closeBrowser(),Chrome 92.0.4515.131,,,2021-08-04 19:31:27,2021-08-04 19:31:27,0.167s,PASSED
,,,,,,,
