Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Owner2,Chrome 92.0.4515.131,,,2021-08-04 20:04:09,2021-08-04 20:05:50,1m - 41.269s,PASSED
,,,,,,,
Test Cases/Owner/Mark Rent as Paid,Chrome 92.0.4515.131,,,2021-08-04 20:04:09,2021-08-04 20:04:23,13.839s,PASSED
"openBrowser("""")",Chrome 92.0.4515.131,,,2021-08-04 20:04:09,2021-08-04 20:04:12,2.510s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 92.0.4515.131,,,2021-08-04 20:04:12,2021-08-04 20:04:15,3.573s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 92.0.4515.131,,,2021-08-04 20:04:15,2021-08-04 20:04:17,1.290s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""owner@radford.edu"")",Chrome 92.0.4515.131,,,2021-08-04 20:04:17,2021-08-04 20:04:18,0.859s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 92.0.4515.131,,,2021-08-04 20:04:18,2021-08-04 20:04:18,0.500s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/button_Sign-In""))",Chrome 92.0.4515.131,,,2021-08-04 20:04:18,2021-08-04 20:04:19,0.545s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Portal""))",Chrome 92.0.4515.131,,,2021-08-04 20:04:19,2021-08-04 20:04:20,1.225s,PASSED
"click(findTestObject(""Object Repository/Page_Owner Portal/h4_Mark Rent as Paid""))",Chrome 92.0.4515.131,,,2021-08-04 20:04:20,2021-08-04 20:04:21,1.262s,PASSED
"click(findTestObject(""Object Repository/Page_Mark Rent as Paid/input_Mark Rent as Paid_fees""))",Chrome 92.0.4515.131,,,2021-08-04 20:04:21,2021-08-04 20:04:22,0.935s,PASSED
"click(findTestObject(""Object Repository/Page_Mark Rent as Paid/input_Mark Rent as Paid_fees""))",Chrome 92.0.4515.131,,,2021-08-04 20:04:22,2021-08-04 20:04:22,0.290s,PASSED
"click(findTestObject(""Object Repository/Page_Mark Rent as Paid/button_Mark Rent as Paid""))",Chrome 92.0.4515.131,,,2021-08-04 20:04:22,2021-08-04 20:04:23,0.319s,PASSED
closeBrowser(),Chrome 92.0.4515.131,,,2021-08-04 20:04:23,2021-08-04 20:04:23,0.131s,PASSED
,,,,,,,
