Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tenant without Property,Chrome 92.0.4515.159,,,2021-09-06 13:07:17,2021-09-06 13:08:23,1m - 5.947s,PASSED
,,,,,,,
Test Cases/Tenant/Schedule Walkthrough,Chrome 92.0.4515.159,,,2021-09-06 13:07:18,2021-09-06 13:07:33,15.000s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-09-06 13:07:18,2021-09-06 13:07:20,2.311s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 92.0.4515.159,,,2021-09-06 13:07:20,2021-09-06 13:07:22,1.457s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""))",Chrome 92.0.4515.159,,,2021-09-06 13:07:22,2021-09-06 13:07:23,1.234s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""test123@radford.edu"")",Chrome 92.0.4515.159,,,2021-09-06 13:07:23,2021-09-06 13:07:24,0.937s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 92.0.4515.159,,,2021-09-06 13:07:24,2021-09-06 13:07:24,0.572s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/button_Sign-In""))",Chrome 92.0.4515.159,,,2021-09-06 13:07:24,2021-09-06 13:07:25,0.425s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Portal""))",Chrome 92.0.4515.159,,,2021-09-06 13:07:25,2021-09-06 13:07:26,1.616s,PASSED
"click(findTestObject(""Object Repository/Page_Tenant Portal/h4_Schedule Walkthrough""))",Chrome 92.0.4515.159,,,2021-09-06 13:07:26,2021-09-06 13:07:30,3.395s,PASSED
"setText(findTestObject(""Object Repository/Page_Schedule/input__quantumWizTextinputPaperinputInput e_e1b7c3""), ""test123@radford.edu"")",Chrome 92.0.4515.159,,,2021-09-06 13:07:30,2021-09-06 13:07:30,0.570s,PASSED
"click(findTestObject(""Object Repository/Page_Schedule/div_Choose""))",Chrome 92.0.4515.159,,,2021-09-06 13:07:30,2021-09-06 13:07:31,0.376s,PASSED
"setText(findTestObject(""Object Repository/Page_Schedule/input__quantumWizTextinputPaperinputInput e_e1b7c3""), ""test123@radford.edu"")",Chrome 92.0.4515.159,,,2021-09-06 13:07:31,2021-09-06 13:07:31,0.511s,PASSED
"click(findTestObject(""Object Repository/Page_Schedule/div_ChooseAll events are bookedChooseAll ev_bd3a84""))",Chrome 92.0.4515.159,,,2021-09-06 13:07:31,2021-09-06 13:07:32,0.488s,PASSED
"click(findTestObject(""Object Repository/Page_Schedule/span_Submit""))",Chrome 92.0.4515.159,,,2021-09-06 13:07:32,2021-09-06 13:07:32,0.370s,PASSED
"click(findTestObject(""Object Repository/Page_Schedule/a_Home""))",Chrome 92.0.4515.159,,,2021-09-06 13:07:32,2021-09-06 13:07:32,0.316s,PASSED
closeBrowser(),Chrome 92.0.4515.159,,,2021-09-06 13:07:32,2021-09-06 13:07:33,0.116s,PASSED
,,,,,,,
Test Cases/Tenant/View Tenant Portal (Not Renting),Chrome 92.0.4515.159,,,2021-09-06 13:07:33,2021-09-06 13:07:47,14.289s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-09-06 13:07:33,2021-09-06 13:07:34,0.901s,PASSED
"navigateToUrl(""https://managing-made-easier.web.app/"")",Chrome 92.0.4515.159,,,2021-09-06 13:07:34,2021-09-06 13:07:41,7.626s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Sign-In""), STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-09-06 13:07:41,2021-09-06 13:07:42,0.456s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-In/input__txtEmail""), ""test123@radford.edu"")",Chrome 92.0.4515.159,,,2021-09-06 13:07:42,2021-09-06 13:07:43,0.874s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-In/input__txtPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 92.0.4515.159,,,2021-09-06 13:07:43,2021-09-06 13:07:43,0.483s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-In/button_Sign-In""))",Chrome 92.0.4515.159,,,2021-09-06 13:07:43,2021-09-06 13:07:43,0.316s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Sign-In/div_Sign-in Successful You will be redirect_b31683""), 0)",Chrome 92.0.4515.159,,,2021-09-06 13:07:43,2021-09-06 13:07:45,1.309s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Portal""))",Chrome 92.0.4515.159,,,2021-09-06 13:07:45,2021-09-06 13:07:45,0.503s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Tenant Portal/div_Announcements""), 0)",Chrome 92.0.4515.159,,,2021-09-06 13:07:45,2021-09-06 13:07:46,0.885s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Tenant Portal/div_Schedule Walkthrough""), 0)",Chrome 92.0.4515.159,,,2021-09-06 13:07:46,2021-09-06 13:07:46,0.265s,PASSED
